"104436","0201205029","80","Other","104434","DIT","104436"
"104437","0201205092","10","Other","27863","DIT","104437"
"104438","0201205092","20","Separated hindquarters of a weight of 45 kg or more but not exceeding 75 kg (38 kg or more but not exceeding 68 kg in the case of ""Pistola"" cuts), with a low degree of ossification of the cartilages (more especially those of the vertebral apophyses), the meat of which is a light pink colour and the fat of which, of extremely fine structure, is white to light yellow in colour","104437","DIT","104438"
"104439","0201205092","80","Of bison","104438","DIT","104439"
"104440","0201205094","80","Other","104438","DIT","104440"
"104441","0201205097","10","Other","104437","DIT","104441"
"104442","0201205097","80","Of bison","104441","DIT","104442"
"104443","0201205098","80","Other","104441","DIT","104443"
"27879","0201209000","80","Other","27824","DIT","27879"
"104445","0201209011","10","High quality beef and veal","27879","DIT","104445"
"104446","0201209011","80","Of bison","104445","DIT","104446"
"104448","0201209015","80","Other","104445","DIT","104448"
"104449","0201209091","10","Other","27879","DIT","104449"
"104447","0201209091","80","Of bison","104449","DIT","104447"
"104451","0201209099","80","Other","104449","DIT","104451"
"27882","0201300000","80","Boneless","27810","DIT","27882"
"104452","0201300031","10","High quality","27882","DIT","104452"
"104453","0201300031","80","Of bison","104452","DIT","104453"
"104455","0201300039","80","Other","104452","DIT","104455"
"104456","0201300041","10","Other","27882","DIT","104456"
"104459","0201300041","20","Buffalo meat","104456","DIT","104459"
"104454","0201300041","80","Of bison","104459","DIT","104454"
"104457","0201300049","80","Other","104459","DIT","104457"
"27884","0201300090","80","Other","104456","DIT","27884"
"27885","0202000000","80","Meat of bovine animals, frozen","27809","DIT","27885"
"27886","0202100000","80","Carcases and half-carcases","27885","DIT","27886"
"104293","0202100011","10","High quality beef and veal","27886","DIT","104293"
"104291","0202100011","80","Of bison","104293","DIT","104291"
"104292","0202100015","80","Other","104293","DIT","104292"
"104322","0202100091","10","Other","27886","DIT","104322"
"104323","0202100091","80","Of bison","104322","DIT","104323"
"104321","0202100099","80","Other","104322","DIT","104321"
"27889","0202200000","80","Other cuts with bone in","27885","DIT","27889"
"27890","0202201000","80","'Compensated' quarters","27889","DIT","27890"
"104324","0202201011","10","High quality beef and veal","27890","DIT","104324"
"104325","0202201011","80","Of bison","104324","DIT","104325"
"104327","0202201015","80","Other","104324","DIT","104327"
"104329","0202201091","10","Other","27890","DIT","104329"
"104326","0202201091","80","Of bison","104329","DIT","104326"
"104328","0202201099","80","Other","104329","DIT","104328"
"27893","0202203000","80","Unseparated or separated forequarters","27889","DIT","27893"
"104331","0202203011","10","High quality beef and veal","27893","DIT","104331"
"104334","0202203011","80","Of bison","104331","DIT","104334"
"104339","0202203015","80","Other","104331","DIT","104339"
"104340","0202203081","10","Other","27893","DIT","104340"
"104345","0202203081","20","Intended for processing","104340","DIT","104345"
"104346","0202203081","30","For the manufacture of products falling within subheadings 1602 10, 1602 50 31 or 1602 50 95, not containing meat other than that of animals of the bovine species, with a collagen/protein ratio of no more than 0,45 and containing by weight at least 20% of lean meat (excluding offal and fat) with meat and jelly accounting for at least 85% of the total net weight; the products must be subjected to a heat treatment sufficient to ensure the coagulation of meat proteins in the whole of the product and which therefore shows no traces of a pinkish liquid on the cut surface when the product is cut along a line passing through its thickest part (A-products)","104345","DIT","104346"
"104335","0202203081","80","Of bison","104346","DIT","104335"
"104341","0202203082","80","Other","104346","DIT","104341"
"104347","0202203083","10","For the manufacture of products other than those falling within subheadings ex 0210 20, 0210 99 51, 0210 99 90, 1602 50 10 and 1602 90 61 (B-products)","104345","DIT","104347"
"104336","0202203083","80","Of bison","104347","DIT","104336"
"104342","0202203084","80","Other","104347","DIT","104342"
"104349","0202203085","10","Other","104345","DIT","104349"
"104337","0202203085","80","Of bison","104349","DIT","104337"
"104343","0202203086","80","Other","104349","DIT","104343"
"104348","0202203087","10","Other","104340","DIT","104348"
"104338","0202203087","80","Of bison","104348","DIT","104338"
"104344","0202203088","80","Other","104348","DIT","104344"
"27898","0202205000","80","Unseparated or separated hindquarters","27889","DIT","27898"
"104356","0202205011","10","High quality beef and veal","27898","DIT","104356"
"104357","0202205011","80","Of bison","104356","DIT","104357"
"104358","0202205015","80","Other","104356","DIT","104358"
"104359","0202205091","10","Other","27898","DIT","104359"
"104360","0202205091","80","Of bison","104359","DIT","104360"
"104361","0202205099","80","Other","104359","DIT","104361"
"27901","0202209000","80","Other","27889","DIT","27901"
"104333","0202209011","10","High quality beef and veal","27901","DIT","104333"
"104369","0202209011","80","Of bison","104333","DIT","104369"
"104371","0202209015","80","Other","104333","DIT","104371"
"104373","0202209091","10","Other","27901","DIT","104373"
"104370","0202209091","80","Of bison","104373","DIT","104370"
"104372","0202209099","80","Other","104373","DIT","104372"
"27904","0202300000","80","Boneless","27885","DIT","27904"
"27905","0202301000","80","Forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block; 'compensated' quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excluding the tenderloin, in one piece","27904","DIT","27905"
"104375","0202301011","10","High quality beef and veal","27905","DIT","104375"
"104376","0202301011","80","Of bison","104375","DIT","104376"
"104379","0202301015","80","Other","104375","DIT","104379"
"104382","0202301081","10","Other","27905","DIT","104382"
"104383","0202301081","20","Intended for processing","104382","DIT","104383"
